"census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","arrest_pct_tot","arrest_pct_B","arrest_pct_W","pop_pct_tot","pop_pct_B","pop_pct_W","sir_tot","sir_B","sir_W","RE_tot","RE_B","RE_W"
10502,2017,190,250,443,37,129,8753,6188,1832,0.706957615,0.209299669,100,42.9022793951704,56.4432408034304,5.06106408015446,10.370612957808,4.04001228163734,0.100031754648402,0.91565256110891,1.84790351739216,2.04869842529297,1.35737299919128,2.27145314216614
10502,2018,183,253,441,37,129,8648,6455,1806,0.746415356,0.208834413,100,41.509861709363,57.3792790750397,5.09938599229889,10.1323293283871,3.91938157425911,0.100031232081133,0.894608280107784,1.79278058952559,2.71430325508118,2.56841158866882,2.89400243759155
10600,2010,175,202,377,37,129,4061,3733,94,0.919231716,0.023147008,100,46.4333068151684,53.5932113497746,9.28319913323976,185.972369819341,5.41105247649407,0.100012537790059,16.2914658706571,2.47384169649734,-0.521358489990234,-0.176819860935211,-1.33989489078522
10600,2011,140,215,355,37,129,3983,3576,117,0.897815717,0.029374843,100,39.4536750211208,60.5744860602647,8.9126559714795,119.555935098207,6.01213612594726,0.100011579380182,10.4902938248906,2.74850242880158,-1.63133776187897,-0.906873285770416,-0.560205042362213
10600,2012,132,148,283,37,129,3829,3424,127,0.894228258,0.033167929,100,46.661956905687,52.3136700812434,7.39077067718263,103.855232100708,4.32230367103764,0.100008873980205,9.11742082423974,1.97587055399115,1.63543713092804,1.75257527828217,0.920568943023682
10600,2013,85,191,277,37,129,3997,3548,158,0.887665749,0.039529647,100,30.7109346806207,68.9642728256947,6.93002426759401,53.763440860215,5.38316281953722,0.100009066936436,4.72555239893542,2.46093730632689,2.44849538803101,1.46853315830231,2.36319780349731
10600,2014,112,180,294,37,129,3979,3776,92,0.948982156,0.023121387,100,38.1162869772186,61.2376742604556,7.38860546354703,121.606948968512,4.7668229125288,0.100009580053255,10.6510464878391,2.17934056196733,0.113156154751778,0.240074872970581,0.402467578649521
10600,2015,98,172,270,37,129,3951,3746,176,0.948114401,0.044545685,100,36.319881525361,63.7171417993336,6.83354002682797,55.6501987507098,4.59144176610341,0.100008736097002,4.89385564528264,2.09913826489077,1.05199420452118,0.634450733661652,1.12580239772797
10600,2016,109,166,275,37,129,4196,3890,189,0.927073403,0.045042898,100,39.6583060705198,60.37804434751,6.55370463049022,57.6414595452142,4.26724248733966,0.100009449630502,5.07050995281213,1.95100543474766,0.917137622833252,0.841311991214752,0.902170062065125
10600,2017,116,188,307,37,129,4134,3785,237,0.915578133,0.057329463,100,37.8052751546727,61.2504070335396,7.426041943833,48.9245044285112,4.9668436765211,0.100010393348779,4.30730822598055,2.27079431499282,0.898497819900513,0.693051874637604,0.787747263908386
